class,image_1,image_2,phash_distance,ssim
Class_10_lippia_alba,image_690.jpg,image_742.jpg,0,0.9995776755527972
Class_10_lippia_alba,image_691.jpg,image_743.jpg,0,0.9996170328106091
Class_10_lippia_alba,image_692.jpg,image_738.jpg,0,0.9997913129677671
Class_10_lippia_alba,image_693.jpg,image_739.jpg,0,0.9996570122880414
Class_10_lippia_alba,image_694.jpg,image_741.jpg,0,0.9996983587493605
Class_10_lippia_alba,image_698.jpg,image_751.jpg,0,0.9996734226464488
Class_10_lippia_alba,image_699.jpg,image_746.jpg,0,0.9997457992379111
Class_10_lippia_alba,image_700.jpg,image_747.jpg,0,0.999681119938177
Class_10_lippia_alba,image_701.jpg,image_749.jpg,0,0.9997578114002144
Class_11_marsilea_minuta,image_762.jpg,image_822.jpg,0,0.9993267943212224
Class_11_marsilea_minuta,image_763.jpg,image_823.jpg,0,0.999555052362614
Class_11_marsilea_minuta,image_764.jpg,image_821.jpg,0,0.9996782745072397
Class_11_marsilea_minuta,image_766.jpg,image_828.jpg,0,0.9996270832431656
Class_11_marsilea_minuta,image_770.jpg,image_827.jpg,0,0.9996198071102356
Class_12_duck_weeds,image_846.jpg,image_880.jpg,0,0.999223879382304
Class_12_duck_weeds,image_847.jpg,image_881.jpg,0,0.9991254303646572
Class_12_duck_weeds,image_848.jpg,image_876.jpg,0,0.9993739611328799
Class_12_duck_weeds,image_849.jpg,image_877.jpg,0,0.9993312341428843
Class_12_duck_weeds,image_850.jpg,image_879.jpg,0,0.9992751889682757
Class_12_duck_weeds,image_852.jpg,image_894.jpg,0,0.9993961124241599
Class_12_duck_weeds,image_853.jpg,image_895.jpg,0,0.9992277020937523
Class_12_duck_weeds,image_854.jpg,image_890.jpg,0,0.9995756296602112
Class_12_duck_weeds,image_855.jpg,image_891.jpg,0,0.99929038871267
Class_12_duck_weeds,image_856.jpg,image_893.jpg,0,0.999470482425831
Class_14_kachuripana,image_1010.jpg,image_1055.jpg,2,0.9992989851474928
Class_14_kachuripana,image_1011.jpg,image_1056.jpg,0,0.9990731138836303
