bin,lower,upper,count,mean_confidence,accuracy,gap
1,0.0,0.06666666666666667,0,,,
2,0.06666666666666667,0.13333333333333333,0,,,
3,0.13333333333333333,0.2,0,,,
4,0.2,0.26666666666666666,0,,,
5,0.26666666666666666,0.3333333333333333,1,0.3010505139827728,1.0,0.6989494860172272
6,0.3333333333333333,0.4,0,,,
7,0.4,0.4666666666666667,2,0.4549183249473572,0.0,0.4549183249473572
8,0.4666666666666667,0.5333333333333333,2,0.5026620626449585,0.0,0.5026620626449585
9,0.5333333333333333,0.6,0,,,
10,0.6,0.6666666666666666,3,0.6365992426872253,1.0,0.36340075731277466
11,0.6666666666666666,0.7333333333333333,1,0.706632137298584,1.0,0.293367862701416
12,0.7333333333333333,0.8,0,,,
13,0.8,0.8666666666666667,1,0.8155736327171326,1.0,0.18442636728286743
14,0.8666666666666667,0.9333333333333333,4,0.9075510501861572,1.0,0.09244894981384277
15,0.9333333333333333,1.0,143,0.9943220019340515,0.9790209790209791,0.015301022913072448
