bin,lower,upper,count,mean_confidence,accuracy,gap
1,0.0,0.06666666666666667,0,,,
2,0.06666666666666667,0.13333333333333333,0,,,
3,0.13333333333333333,0.2,0,,,
4,0.2,0.26666666666666666,1,0.21835485100746155,1.0,0.7816451489925385
5,0.26666666666666666,0.3333333333333333,2,0.324310839176178,0.0,0.324310839176178
6,0.3333333333333333,0.4,2,0.3665987253189087,0.0,0.3665987253189087
7,0.4,0.4666666666666667,1,0.40501993894577026,1.0,0.5949800610542297
8,0.4666666666666667,0.5333333333333333,1,0.4724861979484558,1.0,0.5275138020515442
9,0.5333333333333333,0.6,1,0.5790354609489441,1.0,0.4209645390510559
10,0.6,0.6666666666666666,3,0.6255794167518616,1.0,0.3744205832481384
11,0.6666666666666666,0.7333333333333333,5,0.6957445740699768,1.0,0.3042554259300232
12,0.7333333333333333,0.8,6,0.7643721699714661,0.8333333333333334,0.0689611633618673
13,0.8,0.8666666666666667,6,0.839716374874115,1.0,0.160283625125885
14,0.8666666666666667,0.9333333333333333,16,0.8977385759353638,0.9375,0.03976142406463623
15,0.9333333333333333,1.0,113,0.986019492149353,0.9911504424778761,0.005130950328523065
