bin,lower,upper,count,mean_confidence,accuracy,gap
1,0.0,0.06666666666666667,0,,,
2,0.06666666666666667,0.13333333333333333,0,,,
3,0.13333333333333333,0.2,0,,,
4,0.2,0.26666666666666666,0,,,
5,0.26666666666666666,0.3333333333333333,0,,,
6,0.3333333333333333,0.4,2,0.3862922489643097,0.5,0.11370775103569031
7,0.4,0.4666666666666667,0,,,
8,0.4666666666666667,0.5333333333333333,0,,,
9,0.5333333333333333,0.6,4,0.5580374002456665,0.75,0.1919625997543335
10,0.6,0.6666666666666666,2,0.628589391708374,1.0,0.371410608291626
11,0.6666666666666666,0.7333333333333333,2,0.7147951126098633,0.5,0.21479511260986328
12,0.7333333333333333,0.8,2,0.7652159333229065,0.0,0.7652159333229065
13,0.8,0.8666666666666667,0,,,
14,0.8666666666666667,0.9333333333333333,7,0.9059224724769592,1.0,0.09407752752304077
15,0.9333333333333333,1.0,138,0.9953106045722961,0.9927536231884058,0.0025569813838903777
