bin,lower,upper,count,mean_confidence,accuracy,gap
1,0.0,0.06666666666666667,0,,,
2,0.06666666666666667,0.13333333333333333,0,,,
3,0.13333333333333333,0.2,0,,,
4,0.2,0.26666666666666666,2,0.22924086451530457,0.5,0.27075913548469543
5,0.26666666666666666,0.3333333333333333,1,0.32846730947494507,1.0,0.6715326905250549
6,0.3333333333333333,0.4,2,0.3916476368904114,0.0,0.3916476368904114
7,0.4,0.4666666666666667,1,0.4514293372631073,1.0,0.5485706627368927
8,0.4666666666666667,0.5333333333333333,8,0.5042994618415833,0.75,0.24570053815841675
9,0.5333333333333333,0.6,3,0.5809841752052307,1.0,0.4190158247947693
10,0.6,0.6666666666666666,4,0.6378782391548157,1.0,0.3621217608451843
11,0.6666666666666666,0.7333333333333333,9,0.702216386795044,1.0,0.29778361320495605
12,0.7333333333333333,0.8,6,0.7808420658111572,1.0,0.21915793418884277
13,0.8,0.8666666666666667,9,0.8408278822898865,0.8888888888888888,0.048061006599002365
14,0.8666666666666667,0.9333333333333333,25,0.9013423323631287,1.0,0.09865766763687134
15,0.9333333333333333,1.0,87,0.9760995507240295,1.0,0.02390044927597046
