,precision,recall,f1-score,support
Class_10_lippia_alba,0.8888888888888888,0.8,0.8421052631578947,10.0
Class_11_marsilea_minuta,1.0,0.8181818181818182,0.9,11.0
Class_12_duck_weeds,1.0,1.0,1.0,10.0
Class_13_topapana,1.0,1.0,1.0,13.0
Class_14_kachuripana,1.0,1.0,1.0,11.0
Class_1_water_iris,1.0,0.9,0.9473684210526315,10.0
Class_2_pistia_stratiotes,1.0,1.0,1.0,10.0
Class_3_lily_leaf,1.0,1.0,1.0,14.0
Class_4_lotus-leaf,1.0,1.0,1.0,13.0
Class_5_water_popy,0.9166666666666666,1.0,0.9565217391304348,11.0
Class_6_salvania,0.9230769230769231,1.0,0.96,12.0
Class_7_chinese_water_spinach,0.8181818181818182,0.9,0.8571428571428571,10.0
Class_8_water_plantain,0.9166666666666666,1.0,0.9565217391304348,11.0
Class_9_mexican_sword_lily,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
accuracy,0.9554140127388535,0.9554140127388535,0.9554140127388535,0.9554140127388535
macro avg,0.9551837051837051,0.9519480519480519,0.9520536377646545,157.0
weighted avg,0.957415903275776,0.9554140127388535,0.9549658832764547,157.0
