,precision,recall,f1-score,support
Class_10_lippia_alba,0.8888888888888888,0.8,0.8421052631578947,10.0
Class_11_marsilea_minuta,1.0,0.9090909090909091,0.9523809523809523,11.0
Class_12_duck_weeds,0.9090909090909091,1.0,0.9523809523809523,10.0
Class_13_topapana,1.0,0.9230769230769231,0.96,13.0
Class_14_kachuripana,1.0,0.9090909090909091,0.9523809523809523,11.0
Class_1_water_iris,0.9,0.9,0.9,10.0
Class_2_pistia_stratiotes,1.0,1.0,1.0,10.0
Class_3_lily_leaf,1.0,1.0,1.0,14.0
Class_4_lotus-leaf,1.0,0.9230769230769231,0.96,13.0
Class_5_water_popy,0.8461538461538461,1.0,0.9166666666666666,11.0
Class_6_salvania,1.0,1.0,1.0,12.0
Class_7_chinese_water_spinach,0.8,0.8,0.8,10.0
Class_8_water_plantain,0.7857142857142857,1.0,0.88,11.0
Class_9_mexican_sword_lily,0.9,0.8181818181818182,0.8571428571428571,11.0
accuracy,0.9299363057324841,0.9299363057324841,0.9299363057324841,0.9299363057324841
macro avg,0.9307034235605666,0.9273226773226774,0.9266469745793054,157.0
weighted avg,0.935225142868455,0.9299363057324841,0.9302493494883706,157.0
