,precision,recall,f1-score,support
Class_10_lippia_alba,0.9,0.9,0.9,10.0
Class_11_marsilea_minuta,1.0,1.0,1.0,11.0
Class_12_duck_weeds,1.0,1.0,1.0,10.0
Class_13_topapana,1.0,1.0,1.0,13.0
Class_14_kachuripana,1.0,0.8181818181818182,0.9,11.0
Class_1_water_iris,0.8333333333333334,1.0,0.9090909090909091,10.0
Class_2_pistia_stratiotes,1.0,0.9,0.9473684210526315,10.0
Class_3_lily_leaf,1.0,1.0,1.0,14.0
Class_4_lotus-leaf,1.0,1.0,1.0,13.0
Class_5_water_popy,1.0,1.0,1.0,11.0
Class_6_salvania,1.0,1.0,1.0,12.0
Class_7_chinese_water_spinach,0.9,0.9,0.9,10.0
Class_8_water_plantain,0.8461538461538461,1.0,0.9166666666666666,11.0
Class_9_mexican_sword_lily,1.0,0.9090909090909091,0.9523809523809523,11.0
accuracy,0.9617834394904459,0.9617834394904459,0.9617834394904459,0.9617834394904459
macro avg,0.962820512820513,0.959090909090909,0.9589647820850828,157.0
weighted avg,0.9658664053568513,0.9617834394904459,0.9619370516621607,157.0
