Model,case_number,image_path,true_index,true_class,pred_index,pred_class,correct,calibrated_confidence,predictive_entropy,confidence_rank,entropy_rank,path_key,current_image_path,case_type
ResNet50_Finetuned,1,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_12_duck_weeds/image_838.jpg,2,Class_12_duck_weeds,2,Class_12_duck_weeds,True,1.0,2.817669610521989e-06,1,5,class_12_duck_weeds/image_838.jpg,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_12_duck_weeds/image_838.jpg,High-confidence correct
ResNet50_Finetuned,2,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_3_lily_leaf/image_213.jpg,7,Class_3_lily_leaf,7,Class_3_lily_leaf,True,1.0,4.471520043125565e-09,3,1,class_3_lily_leaf/image_213.jpg,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_3_lily_leaf/image_213.jpg,High-confidence correct
ResNet50_Finetuned,3,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_729.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.3782510459423065,1.6871392726898191,157,157,class_10_lippia_alba/image_729.jpg,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_729.jpg,Low-confidence correct
ResNet50_Finetuned,4,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_786.jpg,1,Class_11_marsilea_minuta,1,Class_11_marsilea_minuta,True,0.5434344410896301,1.1238442659378052,155,155,class_11_marsilea_minuta/image_786.jpg,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_786.jpg,Low-confidence correct
ResNet50_Finetuned,5,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_708.jpg,0,Class_10_lippia_alba,11,Class_7_chinese_water_spinach,False,0.9896788597106934,0.062556654214859,121,121,class_10_lippia_alba/image_708.jpg,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_708.jpg,High-confidence error
ResNet50_Finetuned,6,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_7_chinese_water_spinach/image_493.jpg,11,Class_7_chinese_water_spinach,5,Class_1_water_iris,False,0.775156557559967,0.6185622215270996,146,147,class_7_chinese_water_spinach/image_493.jpg,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_7_chinese_water_spinach/image_493.jpg,High-confidence error
EfficientNetB0_Finetuned,1,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_5_water_popy/image_358.jpg,9,Class_5_water_popy,9,Class_5_water_popy,True,0.9999997615814208,3.989224296674365e-06,1,1,class_5_water_popy/image_358.jpg,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_5_water_popy/image_358.jpg,High-confidence correct
EfficientNetB0_Finetuned,2,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_729.jpg,0,Class_10_lippia_alba,0,Class_10_lippia_alba,True,0.9999990463256836,1.5077251191542018e-05,2,2,class_10_lippia_alba/image_729.jpg,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_10_lippia_alba/image_729.jpg,High-confidence correct
EfficientNetB0_Finetuned,3,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_14_kachuripana/image_992.jpg,4,Class_14_kachuripana,4,Class_14_kachuripana,True,0.3010505139827728,1.8101458549499512,157,157,class_14_kachuripana/image_992.jpg,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_14_kachuripana/image_992.jpg,Low-confidence correct
EfficientNetB0_Finetuned,4,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_801.jpg,1,Class_11_marsilea_minuta,1,Class_11_marsilea_minuta,True,0.6235325336456299,1.159643530845642,152,153,class_11_marsilea_minuta/image_801.jpg,/kaggle/input/datasets/srabondcosta/aqua-plant-final-dataset/AquPlantDS_FINAL/Test/Class_11_marsilea_minuta/image_801.jpg,Low-confidence correct
