Model,Target Coverage (%),Actual Coverage (%),Accepted Errors,Rejected Errors,Error Rejection Rate (%),Selective Accuracy (%)
ResNet50_Finetuned,100.0,100.0,6,0,0.0,96.1783439490446
ResNet50_Finetuned,95.0,95.54140127388536,4,2,33.33333333333333,97.33333333333334
ResNet50_Finetuned,90.0,90.44585987261148,1,5,83.33333333333334,99.29577464788733
ResNet50_Finetuned,80.0,80.2547770700637,1,5,83.33333333333334,99.2063492063492
ResNet50_Finetuned,70.0,70.06369426751591,0,6,100.0,100.0
EfficientNetB0_Finetuned,100.0,100.0,7,0,0.0,95.54140127388536
EfficientNetB0_Finetuned,95.0,95.54140127388536,3,4,57.14285714285714,98.0
EfficientNetB0_Finetuned,90.0,90.44585987261148,3,4,57.14285714285714,97.88732394366197
EfficientNetB0_Finetuned,80.0,80.2547770700637,1,6,85.71428571428571,99.2063492063492
EfficientNetB0_Finetuned,70.0,70.06369426751591,1,6,85.71428571428571,99.0909090909091
